,Unnamed: 0,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,not.fully.paid
82,82,0.087,88.65,11.69524702,15.0,742,3026.0,8155,14.9,Did Not Pay
83,83,0.0964,128.41,11.51292546,15.0,722,3026.0,8155,14.9,Did Not Pay
84,84,0.087,94.98,11.03488966,12.23,737,2729.958333,3678,30.7,Did Not Pay
85,85,0.1217,179.8,10.46310334,7.1,662,2944.0,2040,36.2,Did Not Pay
86,86,0.1533,444.05,11.00209984,19.52,667,2700.958333,33074,68.8,Did Not Pay
87,87,0.0775,124.89,11.03165864,3.46,747,2519.0,1918,17.1,Did Not Pay
88,88,0.1533,644.3,11.40756495,5.24,662,1770.0,22379,62.2,Did Not Pay
89,89,0.0964,642.02,11.47210347,2.86,737,2190.0,10296,42.5,Fully Paid
90,90,0.1154,104.76,9.61580548,12.24,672,1289.958333,2867,55.1,Fully Paid
91,91,0.1122,157.66,10.30895266,12.36,682,1770.0,12310,86.1,Did Not Pay
92,92,0.087,383.87,11.91839057,4.8,767,13349.95833,61921,39.1,Did Not Pay
93,93,0.1122,217.6,11.38509209,18.0,702,3725.0,16738,26.1,Did Not Pay
94,94,0.0807,297.99,11.05089001,3.49,792,5939.0,40384,9.2,Did Not Pay
95,95,0.0775,156.11,10.71441777,5.0,762,2131.0,1359,5.6,Did Not Pay
96,96,0.1154,329.95,12.32385568,20.0,727,10292.0,107501,44.8,Did Not Pay
97,97,0.0807,313.67,12.06104687,0.72,787,8010.0,3054,5.6,Did Not Pay
98,98,0.0807,297.99,11.40756495,2.44,792,8717.958333,40384,9.6,Did Not Pay
99,99,0.0933,239.65,11.44035477,9.66,792,4529.0,128000,0.0,Did Not Pay
100,100,0.0712,61.87,11.6784399,0.43,772,5936.0,4709,18.5,Did Not Pay
101,101,0.1186,94.47,10.71441777,2.8,667,5460.0,2850,75.0,Did Not Pay
102,102,0.1501,73.68,11.47210347,16.89,702,4080.0,51,0.0,Fully Paid
103,103,0.0807,313.67,11.91839057,5.84,792,5364.958333,37152,3.7,Did Not Pay
104,104,0.0933,543.2,11.22524339,9.55,762,5699.958333,3839,16.6,Did Not Pay
105,105,0.0807,313.67,11.35040654,3.11,797,5363.958333,37152,3.7,Did Not Pay
106,106,0.1217,266.37,11.15625052,10.2,672,3598.958333,26283,39.5,Fully Paid
107,107,0.1028,210.6,10.71441777,5.87,692,1741.958333,5607,42.2,Did Not Pay
108,108,0.1249,234.15,10.04324949,5.01,662,1110.0,1061,81.9,Did Not Pay
109,109,0.1028,323.99,11.69524702,14.4,722,4679.958333,56740,77.5,Did Not Pay
110,110,0.1059,235.96,10.95080655,7.22,712,5519.0,40598,77.3,Did Not Pay
111,111,0.1438,352.22,11.1844214,17.83,687,1289.958333,3815,6.5,Did Not Pay
112,112,0.0743,117.31,11.69524702,0.0,772,3929.958333,0,0.0,Did Not Pay
113,113,0.0712,64.96,11.60823564,0.22,812,16213.0,50,0.3,Did Not Pay
114,114,0.1565,699.69,11.42954386,1.53,667,3603.958333,4569,56.4,Did Not Pay
115,115,0.1059,195.27,9.852194258,8.15,692,3089.958333,8528,86.1,Did Not Pay
116,116,0.1122,295.59,10.3859137,22.15,747,2788.958333,14345,45.8,Did Not Pay
117,117,0.1122,217.59,10.81977828,18.38,707,3359.0,113,2.4,Did Not Pay
118,118,0.1375,263.09,11.03811028,9.8,677,3089.958333,12231,81.0,Fully Paid
119,119,0.1467,248.43,10.95080655,20.76,667,3750.0,13552,69.1,Did Not Pay
120,120,0.1028,194.4,11.37710574,10.6,692,2489.958333,16813,63.9,Did Not Pay
121,121,0.1249,301.04,10.57131693,5.08,667,3690.0,26233,62.9,Fully Paid
122,122,0.0743,163.92,11.35040654,2.64,782,9210.0,5760,16.0,Did Not Pay
123,123,0.1028,150.66,10.727663,3.26,687,6509.958333,105,35.0,Fully Paid
124,124,0.1122,217.59,10.9525594,13.77,682,2160.0,11490,95.7,Did Not Pay
125,125,0.1312,85.23,10.59663473,20.67,692,5250.0,17641,30.5,Did Not Pay
126,126,0.1122,328.43,10.30895266,20.4,742,3270.0,0,0.0,Did Not Pay
127,127,0.0807,165.47,10.91508846,12.0,797,8790.0,12430,19.2,Did Not Pay
128,128,0.1091,140.6,10.49127422,9.87,707,1560.0,12323,44.0,Did Not Pay
129,129,0.1028,98.01,11.40756495,9.13,697,3300.0,38624,97.8,Did Not Pay
130,130,0.1217,166.48,9.210340372,0.0,662,2250.0,875,54.7,Fully Paid
131,131,0.1249,284.32,11.35040654,6.38,667,7229.958333,1196,12.0,Did Not Pay
132,132,0.1438,194.15,13.08154138,2.4,697,2759.958333,26628,60.4,Did Not Pay
133,133,0.1028,138.51,10.34174248,24.81,767,5789.958333,6752,24.6,Did Not Pay
134,134,0.1249,70.25,9.433483923,14.4,662,1469.0,458,91.6,Fully Paid
135,135,0.0838,252.1,11.56171563,9.71,752,3508.958333,16786,44.7,Did Not Pay
136,136,0.0901,263.19,11.69524702,12.16,742,9719.958333,7336,29.9,Did Not Pay
137,137,0.0933,104.65,11.03488966,3.83,702,3690.0,7089,41.9,Did Not Pay
138,138,0.0807,172.53,10.89673933,6.29,742,5100.0,18388,68.9,Did Not Pay
139,139,0.0996,38.7,10.37349118,1.13,677,1920.0,613,76.6,Did Not Pay
140,140,0.1249,100.35,10.2791805,12.77,662,1110.0,566,51.5,Fully Paid
141,141,0.128,335.98,10.50232405,18.92,682,2219.0,9166,50.4,Did Not Pay
142,142,0.1091,163.49,10.57131693,11.78,707,4889.0,5406,33.4,Fully Paid
143,143,0.0996,32.25,10.46310334,5.83,687,2158.958333,1188,3.0,Fully Paid
144,144,0.0996,96.75,9.798127037,15.4,707,11248.95833,12003,40.4,Did Not Pay
145,145,0.1059,72.42,11.00209984,8.14,707,4800.0,20511,62.0,Fully Paid
146,146,0.0964,90.68,11.15625052,18.0,732,3691.0,55720,10.0,Did Not Pay
147,147,0.0807,259.58,10.79957558,9.89,772,9870.0,7744,17.1,Did Not Pay
148,148,0.0964,169.32,11.15625052,17.57,737,5429.958333,51761,38.0,Did Not Pay
149,149,0.1154,205.4,10.71441777,17.76,717,1500.0,579,23.2,Did Not Pay
150,150,0.1312,162.01,11.35040654,16.87,707,9059.958333,34776,54.3,Fully Paid
151,151,0.1028,226.8,10.92233487,10.05,692,1890.0,8047,33.8,Did Not Pay
152,152,0.1059,162.73,9.61580548,24.4,737,3209.958333,0,0.0,Did Not Pay
153,153,0.1154,158.38,10.1266311,18.19,672,2586.0,409,81.8,Did Not Pay
154,154,0.0901,795.11,10.95080655,8.93,822,9696.958333,185,0.5,Did Not Pay
155,155,0.0996,158.83,11.33857208,4.84,727,6330.0,48251,50.1,Did Not Pay
156,156,0.1028,97.2,10.54534144,19.93,687,2580.0,772,96.5,Did Not Pay
157,157,0.1154,263.97,10.81977828,8.04,672,3089.0,1019,4.5,Did Not Pay
158,158,0.1091,404.62,10.75177778,16.39,692,5640.0,8332,39.9,Did Not Pay
159,159,0.0775,307.53,11.15625052,9.09,797,6089.958333,1790,4.5,Did Not Pay
160,160,0.128,839.95,11.22524339,24.85,722,6330.0,62739,74.7,Fully Paid
161,161,0.1059,269.31,11.59910316,24.01,767,4665.958333,29901,71.2,Fully Paid
162,162,0.1186,265.18,10.858999,11.31,667,1560.0,5867,74.3,Did Not Pay
163,163,0.0964,802.47,11.26446411,0.8,732,2129.958333,10605,22.1,Did Not Pay
164,164,0.1091,505.16,11.69524702,16.97,697,9659.0,57196,44.5,Fully Paid
165,165,0.0901,318.05,12.52452638,2.97,712,4919.0,481,80.2,Fully Paid
166,166,0.0838,315.12,10.30895266,4.2,737,1560.0,2282,19.0,Did Not Pay
167,167,0.1091,130.79,9.574983486,8.92,672,1140.0,3614,61.3,Did Not Pay
168,168,0.1059,227.82,11.05879518,8.5,682,6839.958333,14930,79.0,Did Not Pay
169,169,0.0996,643.36,11.66134547,13.07,727,10529.95833,33989,82.9,Did Not Pay
170,170,0.147,51.78,10.1266311,3.84,632,1530.0,1238,61.9,Did Not Pay
171,171,0.0901,572.48,10.62132735,15.37,747,7500.0,4746,18.5,Did Not Pay
172,172,0.0775,149.87,9.952277717,6.34,752,3029.0,3470,25.5,Did Not Pay
173,173,0.0996,96.75,11.03488966,11.98,682,1799.0,12640,83.2,Did Not Pay
174,174,0.0712,92.8,11.44035477,0.0,812,8250.0,368,1.2,Did Not Pay
175,175,0.1091,192.09,11.09741002,19.82,677,4290.0,30597,89.5,Did Not Pay
176,176,0.1154,593.92,10.20359214,10.8,682,5050.0,8537,75.5,Did Not Pay
177,177,0.1091,392.36,10.46310334,15.74,692,1500.041667,15649,54.5,Did Not Pay
178,178,0.0775,156.11,10.858999,9.55,767,12960.04167,4067,7.3,Did Not Pay
179,179,0.1028,155.52,10.46310334,7.51,687,2795.0,5836,68.7,Did Not Pay
180,180,0.1028,485.99,11.38509209,11.95,702,5070.0,24615,94.7,Did Not Pay
181,181,0.1028,116.64,10.30895266,7.88,687,5130.041667,7600,71.7,Did Not Pay
182,182,0.1122,223.34,10.83958091,18.68,682,1889.041667,9495,87.9,Fully Paid
183,183,0.0775,149.87,9.903487553,10.26,757,6330.041667,4921,30.4,Did Not Pay
184,184,0.1154,211.17,11.46163217,1.83,667,3421.041667,11200,23.2,Did Not Pay
185,185,0.0743,186.45,11.13730067,6.11,777,7440.041667,2444,5.6,Did Not Pay
186,186,0.0933,790.86,11.00209984,0.82,767,2100.0,916,6.8,Did Not Pay
187,187,0.0901,795.11,13.33100224,3.83,782,3660.0,148829,6.6,Fully Paid
188,188,0.087,126.65,10.69194491,18.71,747,3630.0,3209,12.6,Did Not Pay
189,189,0.1091,294.27,11.28978191,17.17,677,3840.041667,7570,82.3,Did Not Pay
190,190,0.1091,404.62,11.28978191,9.23,687,2519.0,13126,96.5,Did Not Pay
191,191,0.1186,397.77,11.91839057,20.48,687,4452.041667,66654,51.6,Did Not Pay
192,192,0.0743,178.68,11.46163217,1.2,812,16259.04167,50,0.3,Did Not Pay
193,193,0.1028,29.16,9.392661929,16.7,687,2069.0,3084,65.6,Fully Paid
194,194,0.0996,417.62,11.42954386,6.48,712,5610.041667,2598,23.8,Did Not Pay
195,195,0.1059,130.18,11.03488966,17.81,682,6330.041667,18168,68.5,Did Not Pay
196,196,0.1122,98.53,10.40134951,22.79,682,9389.0,24218,85.3,Did Not Pay
197,197,0.0807,15.69,9.798127037,4.27,722,1470.0,0,0.0,Did Not Pay
198,198,0.1091,523.14,12.20607265,10.7,697,7320.0,72303,73.7,Did Not Pay
199,199,0.087,557.23,11.9381932,0.12,757,1128.041667,1032,5.0,Did Not Pay
200,200,0.1122,315.3,10.65725935,14.6,677,3630.0,133,4.2,Did Not Pay
201,201,0.1154,527.93,10.70099475,12.16,682,2130.0,34023,57.7,Fully Paid
202,202,0.0743,93.23,11.1844214,11.18,757,4500.041667,12430,29.6,Did Not Pay
203,203,0.0775,202.94,10.77895629,13.53,787,10260.04167,10742,8.9,Did Not Pay
204,204,0.1186,165.74,10.59663473,7.02,667,2789.041667,2197,75.8,Fully Paid
205,205,0.1028,158.76,10.69194491,15.3,692,4410.0,88,23.8,Fully Paid
206,206,0.1028,485.99,10.81977828,11.88,702,7020.041667,13867,33.7,Did Not Pay
207,207,0.0996,322.49,11.19134184,10.28,702,4920.041667,3943,98.6,Fully Paid
208,208,0.087,189.97,10.08580911,19.45,757,3870.041667,5405,40.0,Did Not Pay
209,209,0.1217,376.24,10.42228135,23.96,712,3030.041667,12102,49.0,Did Not Pay
210,210,0.1217,599.33,11.61045137,18.3,682,4379.0,18076,81.4,Did Not Pay
211,211,0.1217,132.35,10.20359214,23.2,702,5279.041667,4504,39.2,Fully Paid
212,212,0.1186,828.69,10.858999,9.74,712,4859.041667,25852,60.5,Did Not Pay
213,213,0.1091,604.88,10.858999,17.56,707,8061.0,32438,43.0,Did Not Pay
214,214,0.087,538.23,10.93131966,11.51,747,6240.041667,20380,48.1,Did Not Pay
215,215,0.0933,172.55,10.6454249,16.09,707,2220.0,38054,61.2,Did Not Pay
216,216,0.1091,604.88,10.49127422,4.67,697,1410.0,25,0.2,Did Not Pay
217,217,0.0996,290.24,10.54534144,3.38,697,1782.0,3305,55.1,Did Not Pay
218,218,0.1186,530.36,11.36674295,15.1,682,3900.0,348,4.8,Fully Paid
219,219,0.087,158.31,10.08580911,6.15,722,1350.0,3015,25.3,Did Not Pay
220,220,0.1059,390.54,10.30895266,19.84,702,2042.041667,7336,71.9,Did Not Pay
221,221,0.1249,301.04,10.858999,4.98,662,6630.041667,8644,72.6,Did Not Pay
222,222,0.1154,659.91,11.47210347,17.81,707,3629.0,93,0.0,Fully Paid
223,223,0.0743,217.52,10.66895539,1.65,777,2879.0,2698,9.5,Did Not Pay
224,224,0.1028,388.79,11.48246626,5.58,697,4800.041667,19009,30.0,Did Not Pay
225,225,0.087,158.31,10.77895629,0.38,717,12930.04167,498,7.3,Did Not Pay
226,226,0.1217,319.64,11.00209984,19.28,672,4740.0,10358,91.7,Fully Paid
227,227,0.1028,103.68,11.22524339,9.7,682,12780.0,2105,45.3,Did Not Pay
228,228,0.0964,154.08,11.00209984,12.94,697,2969.041667,2822,9.9,Did Not Pay
229,229,0.1059,650.9,11.58988651,11.96,707,5070.0,21004,97.7,Did Not Pay
230,230,0.1375,81.74,10.75790288,24.08,667,2820.0,11675,75.8,Did Not Pay
231,231,0.0901,238.54,9.875088078,10.37,712,1230.041667,3933,43.7,Did Not Pay
232,232,0.128,335.98,10.98189713,7.51,662,4109.041667,7251,80.6,Did Not Pay
233,233,0.1217,93.23,10.71441777,19.19,692,4440.041667,88,44.0,Fully Paid
234,234,0.0933,95.87,10.50780352,2.69,697,4680.0,1492,33.2,Did Not Pay
235,235,0.0996,95.94,10.1266311,14.16,692,1918.041667,7121,33.7,Did Not Pay
236,236,0.128,554.37,11.03488966,19.22,677,3060.041667,17641,69.5,Did Not Pay
237,237,0.1438,859.07,11.28978191,20.79,682,3059.041667,30946,61.5,Fully Paid
238,238,0.0838,472.68,11.2515607,7.96,772,5909.041667,0,0.0,Did Not Pay
239,239,0.1091,586.9,11.22524339,10.34,697,2669.041667,23391,90.7,Did Not Pay
240,240,0.0964,224.69,9.878169745,21.23,772,5881.0,16324,48.0,Did Not Pay
241,241,0.128,483.81,10.49460201,8.47,662,2670.041667,7104,93.5,Fully Paid
242,242,0.1217,399.55,10.08580911,14.5,672,1950.041667,9273,43.9,Did Not Pay
243,243,0.1186,232.04,10.82774645,17.02,672,4380.0,6718,94.6,Did Not Pay
244,244,0.0964,802.47,11.22524339,17.06,767,5691.041667,12017,12.1,Fully Paid
245,245,0.1091,304.9,11.16368368,18.96,692,5430.0,5749,43.2,Did Not Pay
246,246,0.1249,836.23,11.27545477,7.99,692,4739.0,6530,21.8,Did Not Pay
247,247,0.0775,124.89,10.08580911,6.0,752,2729.041667,2666,12.1,Did Not Pay
248,248,0.1028,113.4,10.77895629,17.65,687,2070.0,3761,55.4,Did Not Pay
249,249,0.1407,842.47,11.69524702,12.81,677,5340.041667,33698,91.3,Did Not Pay
250,250,0.1091,817.41,11.19821472,22.13,737,9900.0,3472,4.5,Fully Paid
251,251,0.1596,421.65,10.46287474,20.82,667,6750.041667,14534,48.9,Did Not Pay
252,252,0.0933,575.17,11.00209984,9.96,732,2732.041667,6703,47.5,Did Not Pay
253,253,0.1312,405.03,11.56171563,18.25,667,4358.0,5861,53.8,Did Not Pay
254,254,0.128,167.99,10.14564911,18.65,662,1380.0,5061,72.3,Did Not Pay
255,255,0.0996,677.22,10.89857098,3.77,722,6149.0,16888,39.5,Did Not Pay
256,256,0.1154,131.99,10.83863929,9.14,667,3990.0,463,92.6,Did Not Pay
257,257,0.0933,281.2,10.1266311,0.0,712,3360.041667,0,0.0,Did Not Pay
258,258,0.0964,802.47,10.77895629,9.78,742,2550.0,8283,12.7,Did Not Pay
259,259,0.1091,505.16,11.61728548,10.86,687,3420.041667,46525,93.6,Did Not Pay
260,260,0.0743,180.23,10.62861778,2.32,772,2610.041667,2650,6.6,Did Not Pay
261,261,0.0933,798.84,11.51292546,1.57,762,6359.041667,17,0.1,Fully Paid
262,262,0.0933,319.54,10.50506754,19.46,727,4470.041667,827,6.6,Fully Paid
263,263,0.0964,32.1,8.517193191,18.0,702,1200.041667,961,26.0,Did Not Pay
264,264,0.0964,192.6,9.798127037,2.87,697,1199.041667,1554,29.3,Did Not Pay
265,265,0.1407,764.64,11.81303006,3.66,672,5790.0,10753,52.3,Fully Paid
266,266,0.0712,30.94,11.69524702,0.65,792,3810.041667,2227,3.8,Did Not Pay
267,267,0.0901,381.66,11.51961693,6.64,722,10290.04167,7606,18.6,Did Not Pay
268,268,0.1249,301.04,11.00209984,4.64,662,2222.0,8355,34.4,Fully Paid
269,269,0.1438,687.25,11.32659589,16.05,667,2190.0,27293,86.6,Did Not Pay
270,270,0.0964,320.99,11.1124479,3.6,712,2850.0,10157,26.2,Did Not Pay
271,271,0.147,862.97,11.3736634,5.79,677,4739.0,4209,75.2,Fully Paid
272,272,0.0807,250.95,10.89673933,10.44,767,3449.041667,0,0.0,Did Not Pay
273,273,0.0743,87.01,10.28793329,3.96,767,3930.0,1773,5.0,Did Not Pay
274,274,0.0775,62.45,10.08580911,2.4,742,2290.041667,949,55.8,Fully Paid
275,275,0.1375,851.41,11.22524339,19.78,687,2399.041667,12308,43.6,Fully Paid
276,276,0.1059,244.09,10.59600954,12.1,687,4019.0,7914,30.8,Did Not Pay
277,277,0.1438,687.25,10.65725935,15.7,672,3690.0,9150,96.3,Did Not Pay
278,278,0.1122,656.86,10.55986701,14.04,702,1800.0,21777,53.7,Did Not Pay
279,279,0.128,537.57,11.48440253,12.43,667,2580.0,4281,63.0,Did Not Pay
280,280,0.0964,320.99,10.12502982,8.17,712,3300.0,4475,63.0,Did Not Pay
281,281,0.0996,386.99,11.51292546,8.17,707,3839.041667,25413,45.2,Did Not Pay
282,282,0.0838,315.12,11.58058411,2.28,742,4740.0,15043,65.2,Did Not Pay
283,283,0.1059,292.91,10.16277015,5.56,682,1350.041667,6353,39.5,Did Not Pay
284,284,0.0807,125.48,9.980448594,10.33,742,1920.041667,3737,55.8,Did Not Pay
285,285,0.0933,383.45,11.13663073,7.47,717,5580.041667,11370,41.6,Did Not Pay
286,286,0.1343,523.78,10.49127422,17.4,667,10380.04167,18403,73.3,Did Not Pay
287,287,0.1217,199.78,11.69524702,6.81,662,2041.041667,19504,77.3,Did Not Pay
288,288,0.0933,575.17,11.53272809,16.95,747,3630.0,10463,8.2,Did Not Pay
289,289,0.0901,95.42,9.210340372,6.72,707,3329.0,2808,51.1,Did Not Pay
290,290,0.0901,477.07,11.17043516,6.88,742,4589.041667,6297,14.5,Did Not Pay
291,291,0.0807,345.06,11.03488966,14.07,792,7867.041667,33060,21.7,Did Not Pay
292,292,0.1122,155.19,9.893437217,23.03,717,2580.0,4500,13.0,Fully Paid
293,293,0.0996,644.97,11.21171226,13.28,732,1770.0,2344,9.8,Did Not Pay
294,294,0.0712,92.8,11.01205017,1.19,797,6270.041667,2907,4.0,Did Not Pay
295,295,0.0996,306.36,10.96819829,21.93,727,4593.041667,26218,28.7,Did Not Pay
296,296,0.1154,143.53,9.998797732,24.71,707,1291.041667,5967,25.5,Did Not Pay
297,297,0.0964,288.89,11.62625415,10.36,702,6119.0,27786,85.5,Fully Paid
298,298,0.0933,87.88,11.62625415,13.46,702,6120.0,27786,85.5,Fully Paid
299,299,0.0901,381.66,11.69524702,4.28,722,4080.041667,7335,45.8,Did Not Pay
300,300,0.1122,197.06,10.80972795,0.0,672,2519.0,0,0.0,Did Not Pay
301,301,0.0807,83.92,10.59663473,16.68,737,6988.0,19210,48.3,Did Not Pay
302,302,0.0964,481.48,10.59663473,4.05,717,2759.041667,11601,85.9,Did Not Pay
303,303,0.0996,253.16,10.16585182,6.14,697,2040.041667,991,34.2,Did Not Pay
304,304,0.0743,77.69,13.16542287,2.45,762,6240.0,141287,9.4,Did Not Pay
305,305,0.1014,97.0,11.69524702,8.71,687,2311.041667,199,1.1,Did Not Pay
306,306,0.1046,259.87,11.69524702,11.28,692,5018.041667,63580,80.6,Fully Paid
